params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
"cols=512, rows=512",int8,0.0083,0.0019,0.0020,4.38,4.04,1.0526
"cols=1024, rows=512",int8,0.0080,0.0019,0.0020,4.28,3.98,1.0526
"cols=2048, rows=512",int8,0.0103,0.0025,0.0028,4.14,3.71,1.1200
"cols=4096, rows=512",int8,0.0153,0.0036,0.0040,4.20,3.81,1.1111
"cols=8192, rows=512",int8,0.0248,0.0059,0.0063,4.22,3.96,1.0678
"cols=512, rows=1024",int8,0.0084,0.0020,0.0022,4.15,3.87,1.1000
"cols=1024, rows=1024",int8,0.0102,0.0026,0.0028,4.00,3.60,1.0769
"cols=2048, rows=1024",int8,0.0156,0.0035,0.0038,4.43,4.07,1.0857
"cols=4096, rows=1024",int8,0.0252,0.0059,0.0062,4.30,4.05,1.0508
"cols=8192, rows=1024",int8,0.0439,0.0102,0.0107,4.29,4.11,1.0490
"cols=512, rows=2048",int8,0.0099,0.0025,0.0028,3.94,3.60,1.1200
"cols=1024, rows=2048",int8,0.0152,0.0035,0.0037,4.39,4.12,1.0571
"cols=2048, rows=2048",int8,0.0252,0.0057,0.0060,4.40,4.17,1.0526
"cols=4096, rows=2048",int8,0.0439,0.0105,0.0109,4.20,4.03,1.0381
"cols=8192, rows=2048",int8,0.0882,0.0191,0.0196,4.62,4.50,1.0262
"cols=512, rows=4096",int8,0.0156,0.0035,0.0037,4.46,4.20,1.0571
"cols=1024, rows=4096",int8,0.0252,0.0058,0.0063,4.34,4.01,1.0862
"cols=2048, rows=4096",int8,0.0442,0.0104,0.0108,4.26,4.08,1.0385
"cols=4096, rows=4096",int8,0.0868,0.0191,0.0196,4.55,4.43,1.0262
"cols=8192, rows=4096",int8,0.1850,0.0359,0.0367,5.15,5.04,1.0223
