params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
seq_len=2048,fp32,0.0360,0.0045,0.0107,7.96,3.36,2.3663,0.0045,8.12
seq_len=4096,fp32,0.0375,0.0069,0.0193,5.44,1.94,2.8050,0.0069,5.46
seq_len=6144,fp32,0.0388,0.0091,0.0275,4.28,1.41,3.0351,0.0091,4.32
seq_len=8192,fp32,0.0380,0.0115,0.0355,3.30,1.07,3.0779,0.0114,3.27
seq_len=10240,fp32,0.0385,0.0140,0.0457,2.75,0.84,3.2659,0.0130,2.86
seq_len=12288,fp32,0.0384,0.0161,0.0527,2.39,0.73,3.2818,0.0152,2.47
seq_len=14336,fp32,0.0418,0.0174,0.0608,2.40,0.69,3.4918,0.0176,2.29
seq_len=16384,fp32,0.0405,0.0206,0.0694,1.96,0.58,3.3615,0.0197,2.00
seq_len=18432,fp32,0.0419,0.0218,0.0777,1.93,0.54,3.5745,0.0218,1.85
seq_len=20480,fp32,0.0421,0.0240,0.0860,1.76,0.49,3.5889,0.0241,1.70
seq_len=22528,fp32,0.0432,0.0261,0.0945,1.66,0.46,3.6283,0.0263,1.58
seq_len=24576,fp32,0.0428,0.0280,0.1024,1.53,0.42,3.6636,0.0283,1.49
seq_len=26624,fp32,0.0438,0.0304,0.1117,1.44,0.39,3.6713,0.0303,1.46
seq_len=28672,fp32,0.0439,0.0324,0.1191,1.36,0.37,3.6771,0.0324,1.36
seq_len=30720,fp32,0.0455,0.0344,0.1275,1.32,0.36,3.7038,0.0345,1.26
seq_len=32768,fp32,0.0451,0.0368,0.1364,1.22,0.33,3.7011,0.0367,1.19
seq_len=34816,fp32,0.0472,0.0387,0.1446,1.22,0.33,3.7341,0.0390,1.17
seq_len=36864,fp32,0.0476,0.0408,0.1514,1.17,0.31,3.7118,0.0412,1.12
seq_len=38912,fp32,0.0482,0.0428,0.1610,1.13,0.30,3.7610,0.0434,1.10
seq_len=40960,fp32,0.0467,0.0450,0.1700,1.04,0.27,3.7785,0.0454,1.03
