params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
H=16,fp16,0.0159,0.0517,0.1409,0.31,0.11,2.7248,nan,0.00
H=16,fp32,0.0190,0.0694,0.1459,0.27,0.13,2.1014,0.3172,0.06
H=32,fp16,0.0267,0.1692,0.4110,0.16,0.06,2.4292,nan,0.00
H=32,fp32,0.0348,0.2320,0.4452,0.15,0.08,1.9189,0.5234,0.07
H=48,fp16,0.0444,0.3420,0.8863,0.13,0.05,2.5912,nan,0.00
H=48,fp32,0.0598,0.4473,0.8747,0.13,0.07,1.9557,1.0246,0.06
H=64,fp16,0.0679,0.6178,1.5170,0.11,0.04,2.4557,nan,0.00
H=64,fp32,0.0968,0.7692,1.4678,0.13,0.07,1.9083,1.9012,0.05
H=80,fp16,0.0978,0.9244,2.3644,0.11,0.04,2.5579,nan,0.00
H=80,fp32,0.1487,1.1995,2.2302,0.12,0.07,1.8593,3.0489,0.05
H=96,fp16,0.1338,1.3144,3.3569,0.10,0.04,2.5538,nan,0.00
H=96,fp32,0.2077,1.7003,3.1736,0.12,0.07,1.8665,4.1823,0.05
H=112,fp16,0.1798,1.7721,4.5168,0.10,0.04,2.5488,nan,0.00
H=112,fp32,0.2764,2.3020,4.2788,0.12,0.06,1.8587,6.2248,0.04
H=128,fp16,0.2341,2.2655,5.8496,0.10,0.04,2.5820,nan,0.00
H=128,fp32,0.3011,2.9747,5.4606,0.10,0.06,1.8357,7.2453,0.04
H=144,fp16,0.2942,2.8710,7.3565,0.10,0.04,2.5623,nan,0.00
H=144,fp32,0.5258,3.7465,6.8533,0.14,0.08,1.8293,9.6585,0.05
H=160,fp16,0.3600,3.5191,9.0409,0.10,0.04,2.5691,nan,0.00
H=160,fp32,0.6035,4.5927,8.4493,0.13,0.07,1.8397,11.8252,0.05
H=176,fp16,0.4317,4.2397,10.9114,0.10,0.04,2.5736,nan,0.00
H=176,fp32,0.6874,5.5505,10.1631,0.12,0.07,1.8310,14.6079,0.05
H=192,fp16,0.5113,5.0351,12.9542,0.10,0.04,2.5728,nan,0.00
H=192,fp32,0.7978,6.5712,12.0486,0.12,0.07,1.8335,17.7521,0.04
H=208,fp16,0.6009,5.8909,15.1799,0.10,0.04,2.5768,nan,0.00
H=208,fp32,0.8816,7.7205,14.0844,0.11,0.06,1.8243,20.6591,0.04
H=224,fp16,0.6996,6.8181,17.5816,0.10,0.04,2.5786,nan,0.00
H=224,fp32,0.9858,8.9207,16.3299,0.11,0.06,1.8306,24.1275,0.04
H=240,fp16,0.8026,7.8144,20.1644,0.10,0.04,2.5804,nan,0.00
H=240,fp32,1.0963,10.2599,18.6893,0.11,0.06,1.8216,28.0738,0.04
H=256,fp16,0.9203,8.8862,22.9361,0.10,0.04,2.5811,nan,0.00
H=256,fp32,1.2103,11.6394,21.2962,0.10,0.06,1.8297,30.5333,0.04
H=272,fp16,1.0968,10.0235,25.8665,0.11,0.04,2.5806,nan,0.00
H=272,fp32,1.6268,13.1616,23.9866,0.12,0.07,1.8225,36.6428,0.04
H=288,fp16,1.2045,11.2373,29.0077,0.11,0.04,2.5814,nan,0.00
H=288,fp32,1.7734,14.7191,26.8900,0.12,0.07,1.8269,41.3725,0.04
H=304,fp16,1.3035,12.5080,32.2922,0.10,0.04,2.5817,nan,0.00
H=304,fp32,1.9285,16.4557,29.9321,0.12,0.06,1.8189,46.9498,0.04
H=320,fp16,1.4166,13.8689,35.8263,0.10,0.04,2.5832,nan,0.00
H=320,fp32,2.0821,18.2040,33.1650,0.11,0.06,1.8219,52.0116,0.04
