params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
M=32,fp16,0.0024,0.0035,0.0029,0.69,0.82,0.8371
M=32,bf16,0.0024,0.0034,0.0030,0.71,0.81,0.8730
M=32,fp32,0.0027,0.0039,0.0051,0.70,0.53,1.3214
M=64,fp16,0.0025,0.0040,0.0032,0.64,0.80,0.7973
M=64,bf16,0.0023,0.0038,0.0030,0.62,0.78,0.7914
M=64,fp32,0.0034,0.0045,0.0059,0.75,0.57,1.3140
M=96,fp16,0.0029,0.0042,0.0057,0.68,0.50,1.3564
M=96,bf16,0.0027,0.0042,0.0055,0.64,0.49,1.2907
M=96,fp32,0.0039,0.0052,0.0060,0.75,0.65,1.1452
M=128,fp16,0.0029,0.0047,0.0063,0.62,0.46,1.3485
M=128,bf16,0.0028,0.0047,0.0061,0.61,0.46,1.3135
M=128,fp32,0.0041,0.0058,0.0064,0.71,0.64,1.0943
M=160,fp16,0.0035,0.0053,0.0078,0.65,0.44,1.4748
M=160,bf16,0.0037,0.0052,0.0085,0.71,0.43,1.6401
M=160,fp32,0.0061,0.0066,0.0088,0.92,0.69,1.3337
M=192,fp16,0.0038,0.0058,0.0088,0.66,0.43,1.5308
M=192,bf16,0.0038,0.0057,0.0090,0.66,0.43,1.5611
M=192,fp32,0.0068,0.0071,0.0092,0.96,0.74,1.2932
M=224,fp16,0.0041,0.0060,0.0112,0.69,0.37,1.8549
M=224,bf16,0.0040,0.0060,0.0109,0.67,0.37,1.8255
M=224,fp32,0.0075,0.0080,0.0213,0.94,0.35,2.6695
M=256,fp16,0.0044,0.0063,0.0115,0.70,0.38,1.8365
M=256,bf16,0.0044,0.0065,0.0115,0.67,0.38,1.7643
M=256,fp32,0.0084,0.0093,0.0230,0.89,0.36,2.4560
M=288,fp16,0.0062,0.0085,0.0094,0.72,0.65,1.1108
M=288,bf16,0.0062,0.0083,0.0095,0.74,0.65,1.1413
M=288,fp32,0.0118,0.0165,0.0227,0.71,0.52,1.3779
M=320,fp16,0.0069,0.0085,0.0098,0.81,0.70,1.1526
M=320,bf16,0.0070,0.0084,0.0097,0.83,0.73,1.1444
M=320,fp32,0.0131,0.0181,0.0235,0.72,0.56,1.2998
M=352,fp16,0.0081,0.0094,0.0109,0.86,0.75,1.1525
M=352,bf16,0.0083,0.0095,0.0111,0.88,0.75,1.1714
M=352,fp32,0.0144,0.0203,0.0299,0.71,0.48,1.4734
M=384,fp16,0.0080,0.0101,0.0113,0.80,0.71,1.1180
M=384,bf16,0.0081,0.0100,0.0116,0.80,0.69,1.1577
M=384,fp32,0.0155,0.0220,0.0307,0.70,0.50,1.3929
M=416,fp16,0.0094,0.0170,0.0147,0.55,0.64,0.8647
M=416,bf16,0.0101,0.0169,0.0146,0.59,0.69,0.8625
M=416,fp32,0.0199,0.0372,0.0501,0.53,0.40,1.3450
M=448,fp16,0.0115,0.0181,0.0149,0.64,0.77,0.8273
M=448,bf16,0.0114,0.0179,0.0150,0.64,0.76,0.8382
M=448,fp32,0.0214,0.0400,0.0506,0.54,0.42,1.2632
M=480,fp16,0.0120,0.0197,0.0168,0.61,0.72,0.8529
M=480,bf16,0.0121,0.0197,0.0167,0.61,0.72,0.8458
M=480,fp32,0.0230,0.0429,0.0560,0.54,0.41,1.3046
M=512,fp16,0.0132,0.0202,0.0172,0.65,0.77,0.8542
M=512,bf16,0.0134,0.0203,0.0170,0.66,0.79,0.8372
M=512,fp32,0.0246,0.0458,0.0566,0.54,0.43,1.2356
M=544,fp16,0.0177,0.0250,0.0281,0.71,0.63,1.1231
M=544,bf16,0.0179,0.0250,0.0282,0.72,0.64,1.1268
M=544,fp32,0.0345,0.0616,0.0869,0.56,0.40,1.4124
M=576,fp16,0.0203,0.0262,0.0286,0.77,0.71,1.0910
M=576,bf16,0.0202,0.0262,0.0286,0.77,0.71,1.0933
M=576,fp32,0.0364,0.0650,0.0877,0.56,0.41,1.3509
M=608,fp16,0.0231,0.0280,0.0317,0.83,0.73,1.1317
M=608,bf16,0.0231,0.0280,0.0318,0.83,0.73,1.1353
M=608,fp32,0.0385,0.0693,0.0958,0.56,0.40,1.3824
M=640,fp16,0.0234,0.0292,0.0319,0.80,0.73,1.0917
M=640,bf16,0.0232,0.0292,0.0319,0.79,0.73,1.0896
M=640,fp32,0.0406,0.0733,0.0962,0.55,0.42,1.3127
