params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
n=1000000,int32,0.0804,0.1767,0.2505,0.45,0.32,1.4181
n=2000000,int32,0.1288,0.2285,0.3559,0.56,0.36,1.5573
n=3000000,int32,0.1605,0.2727,0.4549,0.59,0.35,1.6680
n=4000000,int32,0.2011,0.3104,0.5506,0.65,0.37,1.7740
n=5000000,int32,0.2448,0.3555,0.6456,0.69,0.38,1.8161
n=6000000,int32,0.2846,0.4035,0.7473,0.71,0.38,1.8519
n=7000000,int32,0.3190,0.4416,0.8375,0.72,0.38,1.8963
n=8000000,int32,0.3611,0.4979,0.9431,0.73,0.38,1.8941
n=9000000,int32,0.3956,0.5356,1.0337,0.74,0.38,1.9300
n=10000000,int32,0.4357,0.5854,1.1403,0.74,0.38,1.9478
n=11000000,int32,0.4720,0.6359,1.2405,0.74,0.38,1.9508
n=12000000,int32,0.5069,0.6809,1.3406,0.74,0.38,1.9688
n=13000000,int32,0.5447,0.7309,1.4516,0.75,0.38,1.9860
n=14000000,int32,0.5795,0.7871,1.5718,0.74,0.37,1.9970
n=15000000,int32,0.6187,0.8515,1.6963,0.73,0.36,1.9922
n=16000000,int32,0.6550,0.8985,1.8106,0.73,0.36,2.0151
n=17000000,int32,0.6897,0.9611,1.9395,0.72,0.36,2.0180
n=18000000,int32,0.7289,1.0116,2.0541,0.72,0.35,2.0305
n=19000000,int32,0.7637,1.0638,2.1713,0.72,0.35,2.0412
n=20000000,int32,0.8009,1.1236,2.2967,0.71,0.35,2.0441
