params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
K=512,fp16,0.0064,0.0030,0.0036,2.16,1.80,1.1949,0.0027,2.36
K=512,bf16,0.0063,0.0031,0.0043,2.07,1.49,1.3922,0.0029,2.15
K=512,fp32,0.0065,0.0036,0.0036,1.80,1.81,0.9932,0.0030,2.16
K=1024,fp16,0.0085,0.0039,0.0041,2.16,2.09,1.0346,0.0032,2.62
K=1024,bf16,0.0086,0.0038,0.0047,2.28,1.84,1.2399,0.0032,2.68
K=1024,fp32,0.0094,0.0046,0.0045,2.06,2.11,0.9728,0.0039,2.40
K=1536,fp16,0.0101,0.0045,0.0063,2.26,1.61,1.4039,0.0034,2.94
K=1536,bf16,0.0100,0.0045,0.0062,2.23,1.62,1.3748,0.0035,2.85
K=1536,fp32,0.0115,0.0064,0.0060,1.80,1.91,0.9440,0.0057,2.01
K=2048,fp16,0.0123,0.0055,0.0072,2.25,1.71,1.3161,0.0043,2.88
K=2048,bf16,0.0125,0.0054,0.0067,2.33,1.87,1.2470,0.0054,2.30
K=2048,fp32,0.0156,0.0080,0.0084,1.95,1.87,1.0466,0.0082,1.90
K=2560,fp16,0.0136,0.0069,0.0094,1.96,1.44,1.3646,0.0059,2.32
K=2560,bf16,0.0139,0.0070,0.0096,1.98,1.44,1.3726,0.0062,2.25
K=2560,fp32,0.0185,0.0100,0.0100,1.85,1.84,1.0030,0.0098,1.89
K=3072,fp16,0.0165,0.0080,0.0102,2.07,1.61,1.2799,0.0067,2.47
K=3072,bf16,0.0164,0.0080,0.0102,2.05,1.62,1.2671,0.0063,2.60
K=3072,fp32,0.0220,0.0119,0.0122,1.85,1.80,1.0270,0.0108,2.04
K=3584,fp16,0.0180,0.0095,0.0120,1.90,1.50,1.2695,0.0075,2.41
K=3584,bf16,0.0184,0.0093,0.0121,1.99,1.52,1.3133,0.0086,2.13
K=3584,fp32,0.0243,0.0148,0.0133,1.64,1.82,0.9024,0.0133,1.83
K=4096,fp16,0.0204,0.0104,0.0127,1.96,1.61,1.2217,0.0081,2.51
K=4096,bf16,0.0206,0.0100,0.0128,2.05,1.60,1.2808,0.0087,2.36
K=4096,fp32,0.0280,0.0163,0.0162,1.72,1.73,0.9948,0.0144,1.94
K=4608,fp16,0.0225,0.0115,0.0147,1.96,1.53,1.2822,0.0092,2.45
K=4608,bf16,0.0229,0.0115,0.0149,1.98,1.54,1.2865,0.0106,2.16
K=4608,fp32,0.0299,0.0179,0.0171,1.67,1.75,0.9574,0.0158,1.89
K=5120,fp16,0.0253,0.0123,0.0153,2.05,1.66,1.2394,0.0101,2.50
K=5120,bf16,0.0251,0.0128,0.0154,1.96,1.63,1.2024,0.0102,2.45
K=5120,fp32,0.0335,0.0205,0.0194,1.63,1.73,0.9437,0.0174,1.93
K=5632,fp16,0.0276,0.0141,0.0173,1.95,1.59,1.2262,0.0111,2.49
K=5632,bf16,0.0280,0.0140,0.0173,2.00,1.62,1.2363,0.0126,2.23
K=5632,fp32,0.0368,0.0211,0.0213,1.74,1.73,1.0097,0.0188,1.96
K=6144,fp16,0.0300,0.0147,0.0180,2.03,1.67,1.2185,0.0119,2.53
K=6144,bf16,0.0302,0.0147,0.0181,2.05,1.67,1.2265,0.0123,2.45
K=6144,fp32,0.0394,0.0223,0.0224,1.77,1.76,1.0038,0.0195,2.02
K=6656,fp16,0.0324,0.0156,0.0189,2.08,1.72,1.2132,0.0130,2.49
K=6656,bf16,0.0315,0.0166,0.0225,1.90,1.40,1.3534,0.0145,2.17
K=6656,fp32,0.0436,0.0245,0.0241,1.77,1.80,0.9838,0.0217,2.01
K=7168,fp16,0.0356,0.0161,0.0196,2.21,1.81,1.2222,0.0137,2.60
K=7168,bf16,0.0353,0.0165,0.0244,2.14,1.44,1.4815,0.0149,2.37
K=7168,fp32,0.0477,0.0260,0.0251,1.83,1.90,0.9654,0.0237,2.01
K=7680,fp16,0.0379,0.0169,0.0241,2.24,1.58,1.4208,0.0152,2.49
K=7680,bf16,0.0384,0.0179,0.0265,2.14,1.45,1.4777,0.0173,2.22
K=7680,fp32,0.0502,0.0277,0.0273,1.81,1.84,0.9853,0.0242,2.07
K=8192,fp16,0.0402,0.0176,0.0245,2.29,1.64,1.3959,0.0157,2.56
K=8192,bf16,0.0392,0.0185,0.0272,2.12,1.44,1.4732,0.0168,2.33
K=8192,fp32,0.0546,0.0295,0.0279,1.85,1.95,0.9479,0.0256,2.13
K=8704,fp16,0.0432,0.0197,0.0306,2.19,1.41,1.5516,0.0173,2.50
K=8704,bf16,0.0420,0.0208,0.0314,2.02,1.34,1.5119,0.0180,2.33
K=8704,fp32,0.0566,0.0321,0.0317,1.77,1.79,0.9886,0.0282,2.01
