params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
M=1024,fp16,0.0223,0.0031,0.0035,7.23,6.36,1.1354
M=1024,bf16,0.0223,0.0030,0.0035,7.33,6.42,1.1403
M=1024,fp32,0.0171,0.0031,0.0035,5.49,4.87,1.1267
M=2048,fp16,0.0276,0.0040,0.0047,6.83,5.89,1.1612
M=2048,bf16,0.0289,0.0041,0.0047,7.06,6.14,1.1492
M=2048,fp32,0.0237,0.0042,0.0048,5.60,4.96,1.1284
M=3072,fp16,0.0330,0.0053,0.0063,6.25,5.25,1.1906
M=3072,bf16,0.0345,0.0053,0.0063,6.52,5.51,1.1837
M=3072,fp32,0.0291,0.0054,0.0063,5.38,4.60,1.1699
M=4096,fp16,0.0368,0.0063,0.0074,5.85,4.97,1.1779
M=4096,bf16,0.0398,0.0063,0.0074,6.34,5.40,1.1740
M=4096,fp32,0.0345,0.0064,0.0074,5.38,4.65,1.1565
M=5120,fp16,0.0427,0.0073,0.0088,5.81,4.86,1.1955
M=5120,bf16,0.0462,0.0073,0.0088,6.29,5.26,1.1958
M=5120,fp32,0.0403,0.0075,0.0088,5.37,4.57,1.1744
M=6144,fp16,0.0473,0.0084,0.0100,5.66,4.75,1.1899
M=6144,bf16,0.0514,0.0084,0.0100,6.13,5.15,1.1904
M=6144,fp32,0.0462,0.0085,0.0100,5.44,4.62,1.1771
M=7168,fp16,0.0532,0.0094,0.0113,5.65,4.72,1.1965
M=7168,bf16,0.0573,0.0094,0.0113,6.10,5.09,1.1975
M=7168,fp32,0.0518,0.0096,0.0113,5.39,4.58,1.1772
M=8192,fp16,0.0583,0.0104,0.0125,5.59,4.65,1.2012
M=8192,bf16,0.0627,0.0104,0.0125,6.01,5.01,1.2013
M=8192,fp32,0.0584,0.0106,0.0126,5.51,4.64,1.1867
M=9216,fp16,0.0636,0.0115,0.0138,5.54,4.61,1.2024
M=9216,bf16,0.0686,0.0114,0.0138,5.99,4.98,1.2033
M=9216,fp32,0.0642,0.0117,0.0138,5.50,4.65,1.1822
M=10240,fp16,0.0693,0.0125,0.0151,5.53,4.60,1.2029
M=10240,bf16,0.0753,0.0125,0.0150,6.01,5.01,1.1988
M=10240,fp32,0.0706,0.0127,0.0151,5.55,4.67,1.1881
M=11264,fp16,0.0744,0.0136,0.0163,5.48,4.56,1.2035
M=11264,bf16,0.0810,0.0135,0.0163,5.98,4.96,1.2050
M=11264,fp32,0.0755,0.0137,0.0164,5.49,4.62,1.1905
M=12288,fp16,0.0810,0.0146,0.0176,5.55,4.61,1.2048
M=12288,bf16,0.0887,0.0146,0.0176,6.07,5.04,1.2049
M=12288,fp32,0.0836,0.0148,0.0176,5.65,4.75,1.1889
M=13312,fp16,0.0866,0.0156,0.0188,5.54,4.60,1.2052
M=13312,bf16,0.0938,0.0156,0.0188,6.01,4.98,1.2056
M=13312,fp32,0.0886,0.0158,0.0189,5.60,4.70,1.1919
M=14336,fp16,0.0908,0.0166,0.0201,5.46,4.52,1.2080
M=14336,bf16,0.0993,0.0166,0.0201,5.98,4.95,1.2088
M=14336,fp32,0.0940,0.0169,0.0201,5.57,4.68,1.1916
M=15360,fp16,0.0959,0.0177,0.0214,5.42,4.49,1.2087
M=15360,bf16,0.1047,0.0177,0.0214,5.92,4.90,1.2071
M=15360,fp32,0.1001,0.0179,0.0214,5.59,4.68,1.1932
M=16384,fp16,0.1012,0.0187,0.0226,5.42,4.48,1.2107
M=16384,bf16,0.1098,0.0187,0.0226,5.88,4.86,1.2089
M=16384,fp32,0.1052,0.0189,0.0226,5.56,4.65,1.1961
M=17408,fp16,0.1064,0.0197,0.0239,5.39,4.45,1.2101
M=17408,bf16,0.1152,0.0197,0.0238,5.84,4.83,1.2095
M=17408,fp32,0.1111,0.0200,0.0239,5.56,4.65,1.1961
M=18432,fp16,0.1110,0.0207,0.0251,5.35,4.42,1.2103
M=18432,bf16,0.1209,0.0207,0.0251,5.84,4.82,1.2115
M=18432,fp32,0.1169,0.0210,0.0251,5.57,4.65,1.1962
M=19456,fp16,0.1167,0.0218,0.0264,5.36,4.43,1.2112
M=19456,bf16,0.1273,0.0218,0.0264,5.85,4.83,1.2121
M=19456,fp32,0.1226,0.0220,0.0264,5.57,4.65,1.1984
M=20480,fp16,0.1208,0.0228,0.0276,5.30,4.38,1.2109
M=20480,bf16,0.1320,0.0228,0.0276,5.80,4.78,1.2120
M=20480,fp32,0.1280,0.0231,0.0276,5.55,4.63,1.1976
